file,domain,target,phase,filters,service_calls
app/controllers/admin/application_controller.rb,admin,apps/web/admin + services/api/internal/admin,P4,3:before_action :authorize_admin | 4:before_action :assign_help_url | 5:after_action :verify_authorized,
app/controllers/admin/articles_controller.rb,admin,apps/web/admin + services/api/internal/admin,P4,5:after_action only: %i[update unpin] do,
app/controllers/admin/badge_automations_controller.rb,admin,apps/web/admin + services/api/internal/admin,P4,"6:before_action :set_badge | 7:before_action :set_automation, only: %i[show edit update destroy toggle_enabled] | 8:before_action :set_organizations",20:ScheduledAutomation.new | 34:ScheduledAutomation.new
app/controllers/admin/badges_controller.rb,admin,apps/web/admin + services/api/internal/admin,P4,,10:Badge.new | 18:Badge.new
app/controllers/admin/billboard_placement_area_configs_controller.rb,admin,apps/web/admin + services/api/internal/admin,P4,,12:BillboardPlacementAreaConfig.create
app/controllers/admin/billboards_controller.rb,admin,apps/web/admin + services/api/internal/admin,P4,,21:Billboard.new | 29:Billboard.new
app/controllers/admin/blocked_email_domains_controller.rb,admin,apps/web/admin + services/api/internal/admin,P4,,10:BlockedEmailDomain.new | 14:BlockedEmailDomain.new
app/controllers/admin/broadcasts_controller.rb,admin,apps/web/admin + services/api/internal/admin,P4,,18:Broadcast.new | 26:Broadcast.new
app/controllers/admin/bulk_assign_role_controller.rb,admin,apps/web/admin + services/api/internal/admin,P4,,29:AuditLog.create
app/controllers/admin/comments_controller.rb,admin,apps/web/admin + services/api/internal/admin,P4,"3:around_action :skip_bullet, if: -> { defined?(Bullet) }",
app/controllers/admin/community_bots_controller.rb,admin,apps/web/admin + services/api/internal/admin,P4,"5:before_action :set_subforem, only: %i[index new create] | 6:before_action :set_bot, only: %i[show destroy] | 7:before_action :authorize_subforem, only: %i[index new create] | 8:before_action :authorize_bot, only: %i[show destroy]",21:User.new | 25:CommunityBots::CreateBot.call | 38:User.new | 44:CommunityBots::DeleteBot.call
app/controllers/admin/consumer_apps_controller.rb,admin,apps/web/admin + services/api/internal/admin,P4,,6:ConsumerApps::FindOrCreateAllQuery.call | 10:ConsumerApp.new | 19:ConsumerApp.new
app/controllers/admin/creator_settings_controller.rb,admin,apps/web/admin + services/api/internal/admin,P4,"3:after_action :bust_content_change_caches, only: %i[create]",9:CreatorSettingsForm.new | 24:CreatorSettingsForm.new
app/controllers/admin/data_update_scripts_controller.rb,admin,apps/web/admin + services/api/internal/admin,P4,,17:DataUpdateWorker.perform_async
app/controllers/admin/emails_controller.rb,admin,apps/web/admin + services/api/internal/admin,P4,,25:Email.new | 34:Email.new
app/controllers/admin/events_controller.rb,admin,apps/web/admin + services/api/internal/admin,P4,"3:before_action :set_event, only: %i[show edit update destroy]",12:Event.new | 16:Event.new | 43:Events::ManageBroadcastBillboardsWorker.perform_async
app/controllers/admin/extensions_controller.rb,admin,apps/web/admin + services/api/internal/admin,P4,,6:Extension.new
app/controllers/admin/feedback_messages_controller.rb,admin,apps/web/admin + services/api/internal/admin,P4,,55:Note.new | 112:Slack::Messengers::Note.call
app/controllers/admin/gdpr_delete_requests_controller.rb,admin,apps/web/admin + services/api/internal/admin,P4,,6:Admin::GDPRDeleteRequestsQuery.call | 15:AuditLog.create
app/controllers/admin/html_variants_controller.rb,admin,apps/web/admin + services/api/internal/admin,P4,,26:HtmlVariant.new | 39:HtmlVariant.new
app/controllers/admin/invitations_controller.rb,admin,apps/web/admin + services/api/internal/admin,P4,,6:Admin::UsersQuery.call | 31:Images::ProfileImageGenerator.call
app/controllers/admin/mods_controller.rb,admin,apps/web/admin + services/api/internal/admin,P4,,14:Admin::ModeratorsQuery.call | 23:TagModerators::AddTrustedRole.call
app/controllers/admin/navigation_links_controller.rb,admin,apps/web/admin + services/api/internal/admin,P4,"3:after_action :bust_content_change_caches, only: %i[create update destroy] | 4:after_action :bust_navigation_links_cache, only: %i[create update destroy]",17:NavigationLink.new | 60:EdgeCache::Bust.call
app/controllers/admin/organization_memberships_controller.rb,admin,apps/web/admin + services/api/internal/admin,P4,,8:OrganizationMembership.new
