source_domain,target_domain,edge_count
legacy-schema,tests,1153
frontend,frontend,886
service,service,438
routing,web-rails-controller,379
service,public-api,365
service,tests,346
web-rails-controller,content-rendering,290
web-rails-controller,web-rails-controller,267
web-rails-controller,public-api,264
routing,admin,229
tests,tests,225
web-rails-controller,tests,196
web-rails-controller,integrations,181
content-rendering,content-rendering,176
admin,domain-model,171
domain-model,tests,151
service,platform,138
jobs,tests,134
public-api,content-rendering,133
jobs,web-rails-controller,125
web-rails-controller,service,122
content-rendering,tests,113
notifications,service,112
jobs,public-api,112
web-rails-controller,domain-model,111
web-rails-controller,platform,110
frontend,articles/content,104
web-rails-controller,shared-lib,100
service,domain-model,99
web-rails-controller,frontend,95
articles/content,tests,95
admin,content-rendering,94
admin,tests,94
integrations,web-rails-controller,92
articles/feed,service,91
public-api,public-api,89
domain-model,public-api,87
web-rails-controller,identity/profile,86
service,shared-lib,86
content-rendering,web-rails-controller,85
domain-model,domain-model,85
jobs,service,85
jobs,domain-model,83
admin,public-api,82
authorization,public-api,82
service,identity/profile,82
presentation,tests,80
service,web-rails-controller,80
service,admin,77
notifications,tests,74
platform,platform,71
admin,service,70
admin,identity/profile,70
integrations,tests,68
integrations,public-api,68
notifications,notifications,67
integrations,shared-lib,67
service,assets,66
admin,admin,65
public-api,service,65
settings,tests,65
integrations,service,65
public-api,tests,64
presentation,platform,63
authorization,authorization,63
admin,integrations,60
service,settings,58
platform,tests,57
media,tests,56
domain-model,validation,55
shared-lib,web-rails-controller,55
articles/feed,public-api,54
articles/content,public-api,53
jobs,identity/profile,52
integrations,assets,50
service,search,50
shared-lib,domain-model,49
admin,shared-lib,48
frontend,assets,48
integrations,integrations,48
web-rails-controller,organizations,46
public-api,integrations,45
authorization,tests,45
assets,assets,44
public-api,platform,44
service,frontend,43
jobs,frontend,43
public-api,domain-model,42
identity/profile,domain-model,41
integrations,platform,40
jobs,platform,40
validation,tests,39
domain-model,service,37
presentation,presentation,36
articles/content,service,36
tests,runtime-config,36
shared-lib,identity/profile,36
shared-lib,service,36
public-api,web-rails-controller,35
content-rendering,platform,35
email,email,35
identity/profile,tests,35
service,presentation,35
service,email,35
presentation,public-api,34
monetization,tests,34
service,content-rendering,33
tests,admin,33
presentation,web-rails-controller,32
email,identity/profile,32
identity/profile,public-api,32
articles/content,validation,32
service,integrations,32
shared-lib,tests,32
shared-lib,frontend,32
presentation,service,31
domain-model,platform,31
articles/feed,frontend,30
runtime-config,runtime-config,30
web-rails-controller,assets,29
service,notifications,29
public-api,identity/profile,28
articles/feed,tests,28
service,query-read-model,28
search,query-read-model,28
jobs,assets,28
email,domain-model,27
service,reactions,27
runtime-config,tests,27
shared-lib,public-api,27
identity/profile,validation,26
domain-model,presentation,26
articles/content,comments,26
identity/profile,service,26
query-read-model,query-read-model,26
jobs,jobs,26
web-rails-controller,settings,25
presentation,domain-model,25
content-rendering,presentation,25
articles/content,articles/feed,25
notifications,presentation,25
integrations,domain-model,25
web-rails-controller,monetization,24
web-rails-controller,presentation,24
query-read-model,public-api,24
service,legacy-data,24
admin-ui,articles/content,23
admin-ui,admin-ui,23
routing,public-api,23
admin,frontend,22
platform,domain-model,22
frontend,articles/feed,22
platform,integrations,22
media,service,22
content-rendering,public-api,21
email,settings,21
articles/content,domain-model,21
comments,tests,21
notifications,reactions,21
domain-model,jobs,20
integrations,settings,20
integrations,identity/profile,20
notifications,admin,20
jobs,integrations,20
admin,assets,19
web-rails-controller,articles/feed,19
identity/profile,identity/profile,19
domain-model,shared-lib,19
articles/content,presentation,19
service,jobs,19
validation,settings,19
jobs,organizations,19
legacy-schema,service,19
shared-lib,platform,19
web-rails-controller,comments,18
domain-model,web-rails-controller,18
articles/content,platform,18
domain-model,settings,18
notifications,identity/profile,18
service,validation,18
service,runtime-config,18
admin,platform,17
public-api,frontend,17
presentation,identity/profile,17
content-rendering,domain-model,17
comments,presentation,17
notifications,web-rails-controller,17
query-read-model,domain-model,17
public-api,shared-lib,16
monetization,web-rails-controller,16
settings,public-api,16
query-read-model,web-rails-controller,16
shared-lib,organizations,16
shared-lib,settings,16
admin,organizations,15
email,platform,15
articles/content,articles/content,15
articles/content,jobs,15
notifications,platform,15
query-read-model,identity/profile,15
articles/feed,identity/profile,15
articles/feed,articles/feed,15
validation,validation,15
tests,identity/profile,15
web-rails-controller,authorization,14
web-rails-controller,articles/content,14
content-rendering,integrations,14
organizations,validation,14
service,comments,14
service,articles/content,14
platform,content-rendering,14
web-rails-controller,jobs,13
search,public-api,13
presentation,settings,13
email,public-api,13
query-read-model,tests,13
jobs,reactions,13
shared-lib,assets,13
assets,articles/content,12
admin,web-rails-controller,12
admin,monetization,12
public-api,organizations,12
web-rails-controller,query-read-model,12
frontend,domain-model,12
content-rendering,settings,12
domain-model,identity/profile,12
monetization,validation,12
comments,articles/content,12
organizations,tests,12
identity/profile,jobs,12
reactions,public-api,12
identity/profile,articles/content,12
integrations,presentation,12
service,organizations,12
tests,web-rails-controller,12
admin,query-read-model,11
web-rails-controller,notifications,11
presentation,articles/content,11
frontend,platform,11
platform,web-rails-controller,11
articles/content,identity/profile,11
comments,jobs,11
notifications,domain-model,11
reactions,tests,11
articles/feed,admin,11
jobs,monetization,11
shared-lib,runtime-config,11
web-rails-controller,validation,10
web-rails-controller,reactions,10
search,search,10
search,platform,10
frontend,admin-ui,10
content-rendering,assets,10
comments,public-api,10
domain-model,content-rendering,10
reactions,reactions,10
query-read-model,frontend,10
query-read-model,admin,10
integrations,frontend,10
media,platform,10
jobs,email,10
tests,platform,10
admin,settings,9
search,web-rails-controller,9
articles/content,web-rails-controller,9
monetization,domain-model,9
monetization,settings,9
organizations,public-api,9
organizations,jobs,9
identity/profile,platform,9
identity/profile,web-rails-controller,9
identity/profile,assets,9
media,content-rendering,9
search,tests,9
jobs,content-rendering,9
jobs,runtime-config,9
legacy-schema,platform,9
tests,domain-model,9
admin,jobs,8
admin,reactions,8
search,domain-model,8
presentation,integrations,8
email,web-rails-controller,8
domain-model,articles/content,8
media/podcasts,tests,8
identity/profile,authorization,8
reactions,jobs,8
api-serialization,api-serialization,8
integrations,media/podcasts,8
media,web-rails-controller,8
runtime-config,platform,8
tests,notifications,8
search,content-rendering,7
search,integrations,7
presentation,legacy-data,7
frontend,shared-lib,7
platform,service,7
content-rendering,shared-lib,7
content-rendering,email,7
content-rendering,organizations,7
domain-model,admin,7
domain-model,integrations,7
articles/content,settings,7
monetization,email,7
identity/profile,presentation,7
organizations,articles/content,7
settings,settings,7
authorization,presentation,7
integrations,content-rendering,7
service,media,7
media,assets,7
search,api-serialization,7
jobs,presentation,7
tests,service,7
public-api,assets,6
public-api,articles/content,6
public-api,monetization,6
web-rails-controller,email,6
public-api,settings,6
presentation,monetization,6
platform,settings,6
admin-ui,frontend,6
platform,public-api,6
platform,identity/profile,6
content-rendering,frontend,6
articles/content,assets,6
monetization,service,6
monetization,articles/content,6
comments,validation,6
settings,presentation,6
notifications,public-api,6
integrations,runtime-config,6
articles/feed,notifications,6
service,articles/feed,6
service,media/podcasts,6
media,presentation,6
media,integrations,6
jobs,comments,6
routing,search,6
shared-lib,content-rendering,6
tests,settings,6
tests,presentation,6
assets,frontend,5
admin,articles/content,5
admin,validation,5
public-api,admin,5
public-api,jobs,5
presentation,articles/feed,5
presentation,authorization,5
presentation,shared-lib,5
presentation,content-rendering,5
content-rendering,articles/content,5
email,organizations,5
domain-model,search,5
domain-model,routing,5
domain-model,comments,5
domain-model,query-read-model,5
articles/content,shared-lib,5
articles/content,search,5
monetization,content-rendering,5
monetization,presentation,5
comments,domain-model,5
comments,service,5
settings,domain-model,5
media/podcasts,platform,5
articles/feed,web-rails-controller,5
search,presentation,5
integrations,admin,5
admin,search,4
admin,email,4
public-api,validation,4
public-api,query-read-model,4
web-rails-controller,search,4
presentation,media,4
platform,runtime-config,4
platform,shared-lib,4
platform,presentation,4
content-rendering,identity/profile,4
content-rendering,service,4
email,service,4
articles/content,query-read-model,4
articles/content,reactions,4
articles/content,notifications,4
monetization,public-api,4
comments,notifications,4
domain-model,runtime-config,4
domain-model,organizations,4
domain-model,media,4
organizations,domain-model,4
organizations,platform,4
organizations,service,4
media/podcasts,domain-model,4
media/podcasts,media/podcasts,4
identity/profile,organizations,4
identity/profile,reactions,4
identity/profile,runtime-config,4
query-read-model,presentation,4
articles/feed,platform,4
