file,target,phase,associations,callbacks,scopes,includes
app/models/ab_experiment/goal_conversion_handler.rb,services/api/internal/domain + gorm models,P1,,,,8:include FieldTest::Helpers
app/models/admin_menu.rb,services/api/internal/domain + gorm models,P1,,,"7:scope :member_manager, ""group-2-line"", [ | 14:scope :content_manager, ""dashboard-line"", [ | 30:scope :customization, ""tools-line"", [ | 41:scope :admin_team, ""user-line"", [ | 45:scope :moderation, ""mod"", [ | 54:scope :advanced, ""flashlight-line"", [ | 64:scope :apps, ""palette-line"", [",
app/models/agent_session.rb,services/api/internal/domain + gorm models,P1,6:belongs_to:user,15:before_validation:generate_slug | 16:after_destroy:delete_s3_object,"18:scope :published, -> { where(published: true) }",
app/models/ahoy/event.rb,services/api/internal/domain + gorm models,P1,10:belongs_to:visit | 11:belongs_to:user,,"13:scope :overview_link_clicks, -> { where(name: ""Admin Overview Link Clicked"") }",6:include Ahoy::QueryMethods
app/models/ahoy/visit.rb,services/api/internal/domain + gorm models,P1,8:has_many:events | 9:belongs_to:user | 10:belongs_to:user_visit_context,,,
app/models/ai_audit.rb,services/api/internal/domain + gorm models,P1,2:belongs_to:affected_user | 3:belongs_to:affected_content,,,
app/models/api_secret.rb,services/api/internal/identity,P1,7:belongs_to:user,,,
app/models/application_record.rb,services/api/internal/domain + gorm models,P1,,,,4:include Purgeable
app/models/article.rb,services/api/internal/articles + search documents,P1,44:belongs_to:collection | 46:belongs_to:organization | 47:belongs_to:user | 48:belongs_to:subforem | 168:has_one:discussion_lock | 170:has_many:mentions | 171:has_many:comments | 172:has_many:context_notifications | 173:has_many:ai_audits | 174:has_many:context_notifications_published | 176:has_many:feed_events | 177:has_many:notification_subscriptions | 178:has_many:notifications | 179:has_many:page_views | 180:has_one:article_activity | 183:has_many:polls | 184:has_many:profile_pins | 187:has_many:rating_votes | 188:has_many:tag_adjustments | 189:has_many:context_notes | 192:has_many:trend_memberships | 193:has_many:trends | 195:has_many:top_comments | 204:has_many:more_inclusive_top_comments | 213:has_many:recent_good_comments | 222:has_many:more_inclusive_recent_good_comments | 231:has_many:most_inclusive_recent_good_comments,292:before_validation:extract_url_from_status_title | 293:before_validation:set_markdown_from_body_url | 294:before_validation:add_urls_from_title_to_body | 295:before_validation:evaluate_markdown | 296:before_validation:normalize_title | 297:before_validation:replace_blank_title_for_status | 298:before_validation:remove_prohibited_unicode_characters | 299:before_validation:remove_invalid_published_at | 300:before_validation:generate_video_embed_url | 301:before_validation:set_default_subforem_id | 302:before_save:set_cached_entities | 303:before_save:set_all_dates | 305:before_save:calculate_base_scores | 306:before_save:fetch_video_duration | 307:before_save:set_caches | 308:before_save:detect_language | 309:before_create:create_password | 310:before_destroy:before_destroy_actions | 312:after_save:create_conditional_autovomits | 313:after_save:bust_cache | 314:after_save:collection_cleanup | 315:after_save:generate_social_image | 316:after_save:generate_context_notes | 331:after_commit:enqueue_generate_embedding | 335:after_commit:async_score_calc | 342:after_commit:recompile_organization_pages | 469:after_commit:bust_cached_admin_welcome_thread,"408:scope :published, lambda { | 412:scope :unpublished, -> { where(published: false) } | 414:scope :full_posts, -> { where(type_of: :full_post) } | 415:scope :statuses, -> { where(type_of: :status) } | 416:scope :fullscreen_embeds, -> { where(type_of: :fullscreen_embed) } | 418:scope :not_authored_by, ->(user_id) { where.not(user_id: user_id) } | 423:scope :approved, -> { where(approved: true) } | 425:scope :from_subforem, lambda { |subforem_id = nil| | 438:scope :admin_published_with, lambda { |tag_name| | 455:scope = subforem_id ? from_subforem(subforem_id) : all | 471:scope :user_published_with, lambda { |user_id, tag_name| | 478:scope :active_help, lambda { | 485:scope :limited_column_select, lambda { | 496:scope :minimal_feed_column_select, lambda { | 507:scope :limited_columns_internal_select, lambda { | 517:scope :sorting, lambda { |value| | 544:scope :with_at_least_home_feed_minimum_score, lambda { | 550:scope :featured, -> { where(featured: true) } | 552:scope :feed, lambda { | 559:scope :with_video, lambda {","2:include LiquidEmbeddable | 3:include CloudinaryHelper | 4:include ActionView::Helpers | 5:include Reactable | 6:include Taggable | 7:include UserSubscriptionSourceable | 8:include PgSearch::Model | 9:include AlgoliaSearchable | 10:include WebpageTrackable | 15:include StringAttributeCleaner.nullify_blanks_for(:canonical_url, on: :before_save)"
app/models/article_activity.rb,services/api/internal/articles + search documents,P1,16:belongs_to:article,,,
app/models/articles/cached_entity.rb,services/api/internal/articles + search documents,P1,,,,4:include Images::Profile.for(:profile_image_url)
app/models/async_info.rb,services/api/internal/domain + gorm models,P1,,,,8:include FieldTest::Helpers
app/models/audience_segment.rb,services/api/internal/domain + gorm models,P1,18:has_many:segmented_users | 19:has_many:users | 20:has_many:emails,22:after_validation:persist_recently_active_users,,
app/models/audit_log.rb,services/api/internal/domain + gorm models,P1,2:belongs_to:user,,"13:scope :on_user, lambda { |user|",
app/models/badge.rb,services/api/internal/domain + gorm models,P1,5:has_many:badge_achievements | 6:has_many:tags | 7:has_many:users,16:before_validation:generate_slug,,
app/models/badge_achievement.rb,services/api/internal/domain + gorm models,P1,7:belongs_to:user | 8:belongs_to:badge | 9:belongs_to:rewarder,19:before_validation:render_rewarding_context_message_html | 20:after_create:award_credits | 21:after_create:apply_top_seven_reputation_modifier_changes | 22:after_create:calculate_user_score | 25:after_commit:bust_user_cache,,
app/models/banished_user.rb,services/api/internal/identity,P1,2:belongs_to:banished_by,4:before_validation:,,
app/models/billboard.rb,services/api/internal/monetization (post-MVP),P1,5:belongs_to:creator | 6:belongs_to:audience_segment | 7:belongs_to:page | 8:belongs_to:event | 74:belongs_to:organization | 75:has_many:billboard_events,93:before_save:process_markdown | 94:before_save:update_exclude_article_ids | 95:before_save:update_content_updated_at_if_needed | 96:after_save:generate_billboard_name | 97:after_save:refresh_audience_segment | 98:after_save:update_links_with_bb_param | 99:after_save:update_event_counts_when_taking_down | 100:after_save:bust_billboard_cache | 101:after_save:bust_home_page_cache | 102:after_destroy:bust_billboard_cache | 103:after_destroy:bust_home_page_cache,"105:scope :approved_and_published, lambda { | 109:scope :search_ads, lambda { |term| | 114:scope :seldom_seen, ->(area) { where(""impressions_count < ?"", low_impression_count(area)).or(where(priority: true)) } | 115:scope :new_only, ->(area) { where(""impressions_count < ?"", low_impression_count(area)) }",2:include Taggable
app/models/billboard_event.rb,services/api/internal/monetization (post-MVP),P1,5:belongs_to:billboard | 6:belongs_to:user,,"31:scope :impressions, -> { where(category: CATEGORY_IMPRESSION) } | 32:scope :clicks, -> { where(category: CATEGORY_CLICK) } | 33:scope :signups, -> { where(category: CATEGORY_SIGNUP) } | 34:scope :conversions, -> { where(category: CATEGORY_CONVERSION) } | 35:scope :all_conversion_types, -> { where(category: [CATEGORY_SIGNUP, CATEGORY_CONVERSION]) }",
app/models/billboard_placement_area_config.rb,services/api/internal/monetization (post-MVP),P1,,36:after_destroy:bust_cache | 37:after_save:bust_cache,,
app/models/blocked_email_domain.rb,services/api/internal/domain + gorm models,P1,,9:before_validation:normalize_domain,,
app/models/broadcast.rb,services/api/internal/domain + gorm models,P1,5:has_many:notifications,13:before_save:update_active_status_updated_at,"15:scope :active, -> { where(active: true) } | 16:scope :announcement, -> { where(type_of: ""Announcement"") } | 17:scope :welcome, -> { where(type_of: ""Welcome"") }",
app/models/campaign.rb,services/api/internal/monetization (post-MVP),P1,,,,4:include Singleton
app/models/collection.rb,services/api/internal/articles + search documents,P1,2:has_many:articles | 4:belongs_to:user | 5:belongs_to:organization,12:after_touch:touch_articles,"10:scope :non_empty, -> { joins(:articles).distinct } | 42:scope = if organization_id.present? | 48:scope = scope.where.not(id: id) if persisted?",
