file,domain,target,phase,queue_options,has_perform,service_calls
app/workers/agent_sessions/cleanup_expired_raw_files_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,"queue: :low_priority, retry: 3",True,
app/workers/ai_audits/trim_old_audits_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,"queue: :low_priority, retry: 5",True,
app/workers/algolia_search/search_index_worker.rb,search,"services/api/internal/search/{elastic,fallback}",P1,"queue: :medium_priority, retry: 5, tags: [""algolia""]",True,
app/workers/articles/backfill_activities_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,"queue: :low_priority,",True,
app/workers/articles/bust_cache_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,,True,EdgeCache::BustArticle.call
app/workers/articles/bust_multiple_caches_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,"queue: :low_priority, retry: 10",True,EdgeCache::Bust.new
app/workers/articles/detect_code_block_languages_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,"queue: :high_priority, retry: 5, lock: :until_executing",True,Articles::DetectCodeBlockLanguages.call | EdgeCache::BustArticle.call
app/workers/articles/enrich_image_attributes_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,"queue: :high_priority, retry: 5, lock: :until_executing",True,Articles::EnrichImageAttributes.call | EdgeCache::BustArticle.call
app/workers/articles/generate_context_note_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,"queue: :high_priority, retry: 5, lock: :until_executing",True,Ai::ContextNoteGenerator.new
app/workers/articles/generate_freeform_context_note_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,"queue: :low_priority, lock: :until_executing",True,Ai::FreeformContextNoteGenerator.new
app/workers/articles/generate_summary_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,"queue: :low_priority, lock: :until_executing, on_conflict: :replace",True,Ai::ArticleSummaryGenerator.new
app/workers/articles/handle_spam_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,queue: :high_priority,True,Ai::Base.new | Ai::ArticleEnhancer.new
app/workers/articles/label_cleanup_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,queue: :high_priority,True,Articles::HandleSpamWorker.perform_async
